"Top Hunter: Roddy and Cathy";"kurush75";"191000";"http://img638.imageshack.us/img638/979/tophuntertophunter.jpg";"(monde 2)";","
"Top Hunter: Roddy and Cathy";"juanito1979";"189100";"";"(monde 2)";","
"Top Hunter: Roddy and Cathy";"aescdmvs";"168000";"";"(monde 2)";","
"Top Hunter: Roddy and Cathy";"michel";"165100";"http://img528.imageshack.us/img528/1218/tophuntermichel.jpg";"(monde 3)";","
"Top Hunter: Roddy and Cathy";"Fartaz";"127700";"";"(monde 2)"

"Viewpoint";"chacha";"2301090";"http://cha.voila.net/conneries/viewpoint_2_301_090.JPG";","
"Viewpoint";"Twilight_Guardian";"2133450";"http://img148.imageshack.us/img148/8067/img97482.jpg";","
"Viewpoint";".:-"S.L"-:.";"1972890";"";","
"Viewpoint";"Sulfateur";"1943010";"";","
"Viewpoint";"aescdmvs";"292230";"";","
"Viewpoint";"Cho Aniki";"271000";"http://img20.imageshack.us/my.php?image=viewpoint3me.jpg";","
"Viewpoint";"Mpower";"157860";"http://valou.ludo.free.fr/NEO/Viewpoint1.JPG";","
"Viewpoint";"juanito1979";"136330";"http://img23.imageshack.us/img23/844/picture124ng8.jpg";","
"Viewpoint";"Thestrokes";"125470";"http://isthisit.free.fr/The%20Strokes%20(JUL)%20Viewpoint%20(125470).jpg";","
"Viewpoint";"fabaway";"54750";"http://img307.imageshack.us/img307/1504/img26933me.jpg"
